"15133SEJ 과세유형별(1)","13301B 시도․업태별(1)","13301B 시도․업태별(2)",TIME 시점,16133T2008_0245 총계,16133T2008_0418 사업부진,16133T2008_0419 행정처분,16133T2008_0420 계절사업,16133T2008_0421 법인전환,16133T2008_0422 면세포기·적용,T001 양도·양수,16133T2008_0425 해산·합병,16133ABA7 기타
"15133SEJ00 합계","B01 합계","소계",Y2019 2019,922159,381334,4027,1102,5236,537,40185,2782,486956
"15133SEJ00 합계","B01 합계","소계",Y2020 2020,895379,386219,3313,876,5059,391,43538,2645,453338
"15133SEJ00 합계","B01 합계","소계",Y2021 2021,885173,403696,2914,709,4706,268,51200,3063,418617
"15133SEJ00 합계","B01 합계","소계",Y2022 2022,867292,406225,2636,842,4467,270,43085,3180,406587
"15133SEJ00 합계","B01 합계","소계",Y2023 2023,986487,482183,3837,1069,4685,283,40369,2858,451203
"15133SEJ01 법인사업자","B01 합계","소계",Y2019 2019,69587,27898,1198,35,-,1,1035,2205,37215
"15133SEJ01 법인사업자","B01 합계","소계",Y2020 2020,67547,29354,749,21,-,-,1028,2172,34223
"15133SEJ01 법인사업자","B01 합계","소계",Y2021 2021,65983,28754,632,16,-,-,1171,2682,32728
"15133SEJ01 법인사업자","B01 합계","소계",Y2022 2022,67656,29420,585,17,0,0,922,2756,33956
"15133SEJ01 법인사업자","B01 합계","소계",Y2023 2023,75668,33727,762,53,-,-,1071,2630,37425
"15133SEJ01 법인사업자","B02 지역별","소계",Y2019 2019,69587,27898,1198,35,-,1,1035,2205,37215
"15133SEJ01 법인사업자","B02 지역별","소계",Y2020 2020,67547,29354,749,21,-,-,1028,2172,34223
"15133SEJ01 법인사업자","B02 지역별","소계",Y2021 2021,65983,28754,632,16,-,-,1171,2682,32728
"15133SEJ01 법인사업자","B02 지역별","소계",Y2022 2022,67656,29420,585,17,0,0,922,2756,33956
"15133SEJ01 법인사업자","B02 지역별","소계",Y2023 2023,75668,33727,762,53,-,-,1071,2630,37425
"15133SEJ01 법인사업자","B02 지역별","B03 서울",Y2019 2019,21744,8894,246,10,-,-,322,1049,11223
"15133SEJ01 법인사업자","B02 지역별","B03 서울",Y2020 2020,20228,8878,249,5,-,-,298,1074,9724
"15133SEJ01 법인사업자","B02 지역별","B03 서울",Y2021 2021,19238,8215,118,6,-,-,340,1290,9269
"15133SEJ01 법인사업자","B02 지역별","B03 서울",Y2022 2022,19602,8025,135,5,0,0,261,1427,9749
"15133SEJ01 법인사업자","B02 지역별","B03 서울",Y2023 2023,21516,9056,99,12,-,-,330,1370,10649
"15133SEJ01 법인사업자","B02 지역별","B04 인천",Y2019 2019,3600,1344,171,-,-,-,63,57,1965
"15133SEJ01 법인사업자","B02 지역별","B04 인천",Y2020 2020,3303,1419,115,1,-,-,63,60,1645
"15133SEJ01 법인사업자","B02 지역별","B04 인천",Y2021 2021,3203,1472,61,-,-,-,61,68,1541
"15133SEJ01 법인사업자","B02 지역별","B04 인천",Y2022 2022,2973,1390,39,0,0,0,53,81,1410
"15133SEJ01 법인사업자","B02 지역별","B04 인천",Y2023 2023,3641,1677,104,2,-,-,75,70,1713
"15133SEJ01 법인사업자","B02 지역별","B05 경기",Y2019 2019,17627,6995,594,12,-,-,248,375,9403
"15133SEJ01 법인사업자","B02 지역별","B05 경기",Y2020 2020,17402,7718,243,1,-,-,290,411,8739
"15133SEJ01 법인사업자","B02 지역별","B05 경기",Y2021 2021,17728,8033,289,3,-,-,352,430,8621
"15133SEJ01 법인사업자","B02 지역별","B05 경기",Y2022 2022,17973,8367,289,1,0,0,233,477,8606
"15133SEJ01 법인사업자","B02 지역별","B05 경기",Y2023 2023,20804,9851,407,14,-,-,284,388,9860
"15133SEJ01 법인사업자","B02 지역별","B06 강원",Y2019 2019,1312,562,6,-,-,-,22,41,681
"15133SEJ01 법인사업자","B02 지역별","B06 강원",Y2020 2020,1421,632,5,-,-,-,21,40,723
"15133SEJ01 법인사업자","B02 지역별","B06 강원",Y2021 2021,1507,605,16,-,-,-,15,69,802
