"과세유형별(1)","지역및업태별(1)",지역및업태별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"과세유형별(1)","지역및업태별(1)",지역및업태별(2),총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상,총계,6월미만,6월이상,1년이상,2년이상,3년이상,5년 이상,10년 이상,20년 이상,30년 이상
"총계","합계",소계,9950368,565629,565526,1014794,976482,1621173,2389379,1780735,824754,211896,9677375,596306,620270,1131430,1031196,1516683,2108713,1735310,764315,173152,9206659,665620,651029,1170350,869479,1430075,1888960,1702489,684654,144003,8651833,648758,719993,1002671,894161,1261516,1717869,1652648,627284,126933,8046119,620060,563685,1037599,791313,1167558,1568200,1610014,577468,110222
"법인사업자","합계",소계,1302189,60080,60101,122952,125247,202896,319955,259354,117667,33937,1252033,63440,72271,137048,119743,183751,296275,240323,110000,29182,1177949,77539,72488,130501,107109,167635,274910,222526,100541,24700,1086469,69973,73499,116709,97343,158127,249536,212170,87066,22046,1002855,66812,62155,107037,90579,154381,222952,204353,75017,19569
"법인사업자","지역별",소계,1302189,60080,60101,122952,125247,202896,319955,259354,117667,33937,1252033,63440,72271,137048,119743,183751,296275,240323,110000,29182,1177949,77539,72488,130501,107109,167635,274910,222526,100541,24700,1086469,69973,73499,116709,97343,158127,249536,212170,87066,22046,1002855,66812,62155,107037,90579,154381,222952,204353,75017,19569
"법인사업자","지역별",서울,346793,16373,16295,33508,33548,52961,83912,68865,31367,9964,337214,17344,19787,37430,31396,49974,78063,65282,29635,8303,321566,21254,20151,35059,29889,46048,73300,61558,27675,6632,300805,20209,18821,33386,27851,43980,66818,59410,24531,5799,283337,19618,17862,31443,25811,43233,60947,58142,21226,5055
"법인사업자","지역별",인천,58160,3184,2970,6061,5911,9149,13851,10607,4947,1480,55037,3283,3419,6453,5470,8060,12811,9604,4717,1220,50567,3712,3274,5872,4651,7139,11895,8677,4307,1040,46092,3260,3351,5087,4132,6562,10683,8354,3748,915,42305,3028,2781,4631,3798,6538,9350,8105,3252,822
"법인사업자","지역별",경기,347892,17564,16879,35271,35966,57528,85570,65932,27297,5885,330254,18278,20895,38927,34517,49241,78629,59843,25014,4910,304952,22570,20056,37367,28538,43819,71704,54439,22360,4099,275316,19531,21641,30759,24844,40673,64422,50988,18816,3642,246281,17828,15958,26834,23022,38806,56364,48678,15671,3120
"법인사업자","지역별",강원,33048,1363,1480,3057,2976,5016,7957,6480,3648,1071,31765,1583,1746,3217,2993,4507,7263,6048,3426,982,29621,1701,1733,3191,2503,4296,6571,5646,3104,876,27425,1649,1785,2683,2402,3991,5892,5570,2643,810,25181,1403,1454,2586,2300,3731,5300,5374,2279,754
"법인사업자","지역별",대전,29589,1310,1328,2825,3008,4969,7119,5606,2657,767,28640,1421,1721,3281,3011,4394,6490,5175,2507,640,27156,1863,1730,3314,2607,3882,6091,4829,2307,533,25113,1588,2054,2869,2307,3620,5550,4668,1991,466,22856,1678,1504,2495,2047,3480,4979,4573,1684,416
"법인사업자","지역별",충북,37698,1497,1546,3140,3436,5615,9381,7880,4038,1165,36308,1591,1831,3747,3346,5005,8664,7291,3794,1039,34380,2089,1968,3598,2802,4716,8037,6811,3467,892,31608,1874,1980,2994,2667,4477,7272,6562,2962,820,29051,1589,1650,2861,2506,4467,6367,6335,2533,743
"법인사업자","지역별",충남,50562,2244,2400,4690,4915,7740,12330,10201,4716,1326,48345,2342,2782,5307,4597,6830,11471,9442,4398,1176,45419,2847,2852,4990,3963,6447,10484,8840,4002,994,41664,2559,2841,4258,3619,6141,9557,8398,3407,884,38388,2432,2271,3945,3548,5859,8524,8061,2959,789
"법인사업자","지역별",세종,7891,405,414,890,975,1542,2141,1021,379,124,7492,452,533,1064,908,1341,1899,824,367,104,6807,593,559,977,803,1179,1586,699,327,84,5936,480,576,848,676,1068,1301,621,289,77,5236,489,450,737,648,913,1071,613,245,70
"법인사업자","지역별",광주,37232,1532,1666,3193,3383,6209,10442,7146,2913,748,36044,1552,1931,3680,3551,6095,9457,6418,2713,647,34255,2049,2041,3815,3403,5641,8414,5927,2455,510,31844,1964,2258,3646,3348,4947,7552,5522,2192,415,29528,2019,1996,3664,2967,4740,6610,5267,1888,377
"법인사업자","지역별",전북,42883,1707,1927,3635,3687,6493,10859,9396,3993,1186,41177,1936,2023,3976,3811,6063,9894,8693,3734,1047,39091,2092,2247,4115,3337,5762,9207,8000,3443,888,36437,2118,2348,3605,3295,5256,8523,7554,2917,821,33656,1972,1951,3548,2995,5079,7766,7077,2516,752
"법인사업자","지역별",전남,50240,1914,2060,3897,3958,7573,12892,11419,5172,1355,48148,2023,2219,4251,4085,7393,11531,10640,4786,1220,45623,2244,2330,4324,4060,6757,10558,9854,4419,1077,42642,2170,2432,4301,3873,5995,9698,9411,3816,946,39583,2245,2314,4124,3417,5520,8963,8773,3383,844
"법인사업자","지역별",대구,40596,1741,1732,3486,3736,6456,10054,8030,3751,1610,38719,1796,2038,4066,3683,5708,9215,7277,3495,1441,36963,2350,2166,4035,3492,5055,8616,6748,3183,1318,34388,2089,2333,3871,2937,4833,7949,6339,2854,1183,31899,2329,1971,3244,2756,4770,7128,6095,2515,1091
"법인사업자","지역별",경북,53056,2237,2260,4293,4312,7553,12803,11757,6030,1811,51587,2274,2460,4672,4289,7223,12165,11109,5702,1693,49061,2501,2575,4603,4201,6710,11408,10368,5178,1517,46240,2564,2425,4530,3765,6483,10595,10038,4440,1400,43373,2356,2504,4132,3674,6260,9702,9608,3843,1294
"법인사업자","지역별",부산,67832,2833,2954,6187,6714,10118,16247,13904,6477,2398,65733,3048,3777,7335,5925,9037,15420,13011,6052,2128,62130,4244,3773,6433,5377,8215,14627,12090,5471,1900,57304,3314,3765,5889,4706,8216,13277,11548,4832,1757,53689,3376,3143,5219,4647,8322,11919,11145,4308,1610
"법인사업자","지역별",울산,18761,832,829,1730,1750,2745,4575,3802,1944,554,18198,963,985,1944,1686,2435,4318,3564,1838,465,17123,1165,968,1822,1419,2232,4134,3272,1692,419,15804,950,1015,1525,1310,2243,3773,3128,1478,382,14757,880,849,1472,1199,2438,3189,3111,1288,331
"법인사업자","지역별",경남,60449,2522,2495,5251,5116,8333,14425,13538,6877,1892,58360,2692,2989,5605,4800,7652,13819,12723,6350,1730,55324,3100,2987,5186,4468,7086,13380,11777,5748,1592,51532,2669,2924,4780,4072,6964,12463,11303,4890,1467,48545,2678,2568,4439,3846,7374,11178,10863,4240,1359
"법인사업자","지역별",제주,19507,822,866,1838,1856,2896,5397,3770,1461,601,19012,862,1135,2093,1675,2793,5166,3379,1472,437,17911,1165,1078,1800,1596,2651,4898,2991,1403,329,16319,985,950,1678,1539,2678,4211,2756,1260,262,15190,892,929,1663,1398,2851,3595,2533,1187,142
"법인사업자","업태별",소계,1302189,60080,60101,122952,125247,202896,319955,259354,117667,33937,1252033,63440,72271,137048,119743,183751,296275,240323,110000,29182,1177949,77539,72488,130501,107109,167635,274910,222526,100541,24700,1086469,69973,73499,116709,97343,158127,249536,212170,87066,22046,1002855,66812,62155,107037,90579,154381,222952,204353,75017,19569
"법인사업자","업태별",농·임·어업,27969,963,1249,2194,2514,4681,7965,7328,803,272,26938,995,1281,2652,2739,4207,7678,6395,749,242,25890,1302,1468,2901,2475,3866,7483,5493,673,229,24162,1405,1618,2614,2135,3805,7198,4582,592,213,22129,1355,1382,2251,2109,3803,6900,3579,554,196
"법인사업자","업태별",광업,1159,18,30,54,59,120,254,315,202,107,1168,18,32,61,66,120,265,307,218,81,1153,24,34,66,64,132,262,282,220,69,1145,33,32,64,69,132,255,294,206,60,1158,34,37,73,78,130,244,315,195,52
